Time,Position X,Position Y,Zone
24.991633333333333,313,443,2
25.025000000000002,313,443,2
25.058366666666668,313,443,2
25.091733333333334,313,444,2
25.1251,312,443,2
25.158466666666666,313,443,2
25.191833333333335,313,443,2
25.2252,313,443,2
25.258566666666667,313,443,2
25.291933333333333,313,443,2
25.325300000000002,313,443,2
25.358666666666668,273,456,2
25.392033333333334,273,455,2
25.4254,273,455,2
25.458766666666666,273,455,2
25.492133333333335,273,456,2
25.5255,273,456,2
25.558866666666667,273,456,2
25.592233333333333,273,456,2
25.625600000000002,273,456,2
25.658966666666668,273,456,2
25.692333333333334,273,456,2
25.7257,273,456,2
25.759066666666666,273,456,2
25.792433333333335,273,456,2
25.8258,273,456,2
25.859166666666667,273,456,2
25.892533333333333,273,456,2
25.925900000000002,273,456,2
25.959266666666668,273,456,2
25.992633333333334,273,456,2
26.026,273,456,2
26.059366666666666,273,456,2
26.092733333333335,273,456,2
26.1261,273,456,2
26.159466666666667,273,456,2
26.192833333333333,273,456,2
26.226200000000002,273,456,2
26.259566666666668,273,456,2
26.292933333333334,273,456,2
26.3263,273,456,2
26.359666666666666,273,456,2
26.393033333333335,273,456,2
26.4264,273,456,2
26.459766666666667,273,456,2
26.493133333333333,273,456,2
26.526500000000002,273,456,2
26.559866666666668,273,456,2
26.593233333333334,273,456,2
26.6266,273,456,2
26.659966666666666,273,456,2
26.693333333333335,273,456,2
26.7267,273,456,2
26.760066666666667,273,456,2
26.793433333333333,273,456,2
26.826800000000002,273,456,2
26.860166666666668,273,456,2
26.893533333333334,273,456,2
26.9269,273,456,2
26.960266666666666,273,456,2
26.993633333333335,273,456,2
27.027,273,456,2
27.060366666666667,273,456,2
27.093733333333333,273,456,2
27.127100000000002,273,456,2
27.160466666666668,273,456,2
27.193833333333334,273,456,2
27.2272,273,456,2
27.260566666666666,273,456,2
27.293933333333335,273,456,2
27.3273,273,456,2
27.360666666666667,273,456,2
27.394033333333333,273,456,2
27.427400000000002,273,456,2
27.460766666666668,273,456,2
27.494133333333334,273,456,2
27.5275,273,456,2
27.560866666666666,273,456,2
27.594233333333335,273,456,2
27.6276,273,456,2
27.660966666666667,273,456,2
27.694333333333333,273,456,2
27.727700000000002,273,456,2
27.761066666666668,273,456,2
27.794433333333334,273,456,2
27.8278,273,456,2
27.861166666666666,273,456,2
27.894533333333335,273,456,2
27.9279,273,456,2
27.961266666666667,273,456,2
27.994633333333333,273,456,2
28.028000000000002,273,456,2
28.061366666666668,282,439,2
28.094733333333334,282,438,2
28.1281,282,438,2
28.161466666666666,282,436,2
28.194833333333335,282,436,2
28.2282,283,435,2
28.261566666666667,284,446,2
28.294933333333333,285,444,2
28.328300000000002,286,432,2
28.361666666666668,287,431,2
28.395033333333334,287,430,2
28.4284,288,429,2
28.461766666666666,287,430,2
28.495133333333335,288,430,2
28.5285,288,429,2
28.561866666666667,288,430,2
28.595233333333333,288,429,2
28.628600000000002,288,430,2
28.661966666666668,288,431,2
28.695333333333334,287,431,2
28.7287,286,433,2
28.762066666666666,286,435,2
28.795433333333335,285,433,2
28.8288,284,433,2
28.862166666666667,283,434,2
28.895533333333333,283,434,2
28.928900000000002,283,434,2
28.962266666666668,283,434,2
28.995633333333334,283,434,2
29.029,283,434,2
29.062366666666666,282,435,2
29.095733333333335,281,436,2
29.1291,280,435,2
29.162466666666667,280,434,2
29.195833333333333,280,436,2
29.229200000000002,279,436,2
29.262566666666668,280,438,2
29.295933333333334,280,436,2
29.3293,280,436,2
29.362666666666666,280,436,2
29.396033333333335,279,436,2
29.4294,279,436,2
29.462766666666667,279,436,2
29.496133333333333,279,443,2
29.529500000000002,279,437,2
29.562866666666668,278,439,2
29.596233333333334,278,440,2
29.6296,278,443,2
29.662966666666666,277,446,2
29.696333333333335,276,444,2
29.7297,275,446,2
29.763066666666667,273,446,2
29.796433333333333,273,446,2
29.8298,272,446,2
29.863166666666668,272,444,2
29.896533333333334,272,444,2
29.9299,272,440,2
29.963266666666666,272,441,2
29.996633333333335,272,441,2
30.03,272,441,2
30.063366666666667,272,442,2
30.096733333333333,272,438,2
30.1301,270,439,2
30.163466666666668,270,439,2
30.196833333333334,270,440,2
30.2302,269,448,2
30.263566666666666,270,447,2
30.296933333333335,270,447,2
30.3303,269,445,2
30.363666666666667,270,445,2
30.397033333333333,270,437,2
30.4304,271,438,2
30.463766666666668,272,435,2
30.497133333333334,273,434,2
30.5305,273,434,2
30.563866666666666,273,433,2
30.597233333333335,274,433,2
30.6306,274,434,2
30.663966666666667,274,435,2
30.697333333333333,274,434,2
30.7307,274,435,2
30.76406666666667,273,435,2
30.797433333333334,273,435,2
30.8308,272,435,2
30.864166666666666,272,434,2
30.897533333333335,271,433,2
30.9309,271,433,2
30.964266666666667,270,433,2
30.997633333333333,270,433,2
31.031,270,436,2
31.06436666666667,271,436,2
31.097733333333334,271,435,2
31.1311,271,433,2
31.164466666666666,272,433,2
31.197833333333335,273,432,2
31.2312,274,429,2
31.264566666666667,277,427,2
31.297933333333333,277,425,2
31.3313,279,432,2
31.36466666666667,279,430,2
31.398033333333334,279,430,2
31.4314,279,430,2
31.464766666666666,279,429,2
31.498133333333335,279,428,2
31.5315,279,419,2
31.564866666666667,279,418,2
31.598233333333333,279,417,2
31.6316,279,416,2
31.66496666666667,279,419,2
31.698333333333334,280,414,2
31.7317,281,414,2
31.765066666666666,282,412,2
31.798433333333335,283,411,2
31.8318,283,410,2
31.865166666666667,284,413,2
31.898533333333333,285,409,2
31.9319,287,413,2
31.96526666666667,287,415,2
31.998633333333334,288,410,2
32.032000000000004,288,409,2
32.06536666666667,289,410,2
32.098733333333335,289,409,2
32.1321,290,408,2
32.16546666666667,290,411,2
32.19883333333333,291,411,2
32.2322,291,411,2
32.265566666666665,291,406,2
32.29893333333333,290,409,2
32.332300000000004,290,408,2
32.36566666666667,289,417,2
32.399033333333335,290,417,2
32.4324,288,412,2
32.46576666666667,286,412,2
32.49913333333333,286,411,2
32.5325,286,411,2
32.565866666666665,290,403,2
32.59923333333333,289,402,2
32.632600000000004,288,402,2
32.66596666666667,285,409,2
32.699333333333335,284,408,2
32.7327,283,405,2
32.76606666666667,283,403,2
32.79943333333333,283,402,2
32.8328,283,400,2
32.866166666666665,288,399,2
32.89953333333333,288,398,2
32.932900000000004,288,398,2
32.96626666666667,288,398,2
32.999633333333335,288,397,2
33.033,288,397,2
33.06636666666667,288,398,2
33.09973333333333,288,396,2
33.1331,288,396,2
33.166466666666665,287,395,2
33.19983333333333,287,395,2
33.233200000000004,287,394,2
33.26656666666667,287,394,2
33.299933333333335,288,394,2
33.3333,288,394,2
33.36666666666667,288,394,2
33.40003333333333,288,395,2
33.4334,288,395,2
33.466766666666665,288,396,2
33.50013333333333,288,396,2
33.533500000000004,288,396,2
33.56686666666667,288,397,2
33.600233333333335,288,398,2
33.6336,288,397,2
33.66696666666667,288,398,2
33.70033333333333,288,398,2
33.7337,288,398,2
33.767066666666665,288,398,2
33.80043333333333,288,398,2
33.833800000000004,288,398,2
33.86716666666667,288,398,2
33.900533333333335,288,398,2
33.9339,288,398,2
33.96726666666667,288,398,2
34.00063333333333,288,398,2
34.034,288,398,2
34.067366666666665,288,397,2
